fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,reward_shift,punish_shift,feedback,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,1,2,False,0.17770419426048567,0.0022516556291390794,0.6012087912087911,0.0004395604395604491
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,1,2,True,0.1802943340691685,0.0024576894775570207,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,0,False,0.20173657100809417,8.830022075054234e-05,0.5864285714285714,0.002142857142857113
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,0,True,0.1989109639440765,0.000706401766004422,0.5954945054945056,0.0021978021978021345
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,1,False,0.18796173657100812,0.001854304635761611,0.5952747252747252,0.006813186813186767
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,1,True,0.1905224429727741,0.0019131714495953106,0.5942307692307691,0.006208791208791198
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,2,False,0.18008830022075056,0.001015452538631334,0.6015384615384616,0.0001098901098900984
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,16,8,255,rstdp,2,2,True,0.1826784400294334,0.001927888153053739,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,0,False,0.17724797645327445,0.0014716703458425295,0.5848901098901099,0.006868131868131844
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,0,True,0.18440029433406918,0.0020897718910963953,0.5759890109890111,0.0020329670329670146
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,1,False,0.18394407652685799,0.00019131714495954077,0.5986813186813187,0.0016483516483516425
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,1,True,0.1825459896983076,0.004208977189109647,0.5968131868131868,0.0038461538461538325
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,2,False,0.19025754231052244,0.0049153789551140414,0.5842307692307691,0.006098901098901155
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,0,2,True,0.1924944812362031,0.008182487122884483,0.5573076923076923,0.020824175824175784
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,0,False,0.18288447387785134,0.0013392200147166883,0.5946703296703296,0.0018131868131867623
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,0,True,0.1860338484179544,0.00016188373804268408,0.593131868131868,0.0033516483516483064
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,1,False,0.17114054451802796,0.0001324503311258135,0.5986263736263735,0.0004945054945055261
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,1,True,0.17748344370860925,0.0002943340691684976,0.591043956043956,0.002252747252747267
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,2,False,0.1794849153789551,0.0015599705665930719,0.6009340659340658,0.0004945054945055261
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,1,2,True,0.18604856512141277,0.0028550404709345306,0.6003296703296703,0.0004395604395604491
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,0,False,0.19150846210448863,1.4716703458442226e-05,0.5908791208791209,0.0007692307692307443
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,0,True,0.19624724061810156,0.0005739514348786084,0.5912637362637363,0.0015934065934066766
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,1,False,0.18027961736571008,0.0008241353936718071,0.5978571428571429,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,1,True,0.1865194996320824,0.0017071376011773554,0.5957692307692307,0.0008241758241758212
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,2,False,0.18728476821192053,0.0017071376011773415,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,32,8,255,rstdp,2,2,True,0.19150846210448857,0.007461368653421632,0.6017582417582417,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,0,False,0.18495952906548935,0.0018248712288447266,0.6010989010989011,0.0007692307692307443
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,0,True,0.1870493009565857,0.0007947019867549643,0.6018131868131869,0.0011538461538461164
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,1,False,0.1854010301692421,0.001295069904341431,0.6014835164835164,0.00016483516483517535
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,1,True,0.18675496688741722,0.002590139808682876,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,2,False,0.1891390728476821,0.003944076526857979,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,0,2,True,0.18248712288447388,0.007564385577630603,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,0,False,0.19019867549668873,0.00026490066225165476,0.5960989010989011,0.0019230769230769162
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,0,True,0.19442236938925683,0.0019867549668874246,0.5979120879120878,0.001098901098901095
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,1,False,0.1838852097130243,0.0019867549668874246,0.6014835164835165,5.4945054945076954e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,1,True,0.1879175864606328,0.00022075055187636972,0.6018681318681318,0.0002197802197801968
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,2,False,0.18409124356144224,0.0006622516556291647,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,1,2,True,0.17707137601177336,0.014922737306843278,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,0,False,0.1990139808682855,0.00016188373804268408,0.5884065934065934,0.0019230769230769718
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,0,True,0.20304635761589404,0.0008977189109639627,0.5824175824175823,0.0034065934065933834
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,1,False,0.19365710080941873,0.0010743193524650613,0.5962087912087912,0.0014835164835164671
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,1,True,0.1975570272259014,0.0009713024282560351,0.5988461538461538,0.001703296703296664
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,2,False,0.18235467255334809,0.0001030169242089568,0.6014285714285714,0.00010989010989015391
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,64,64,8,255,rstdp,2,2,True,0.1851066961000736,0.002119205298013238,0.6015934065934065,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,0,False,0.1825754231052244,0.002266372332597494,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,0,True,0.18856512141280357,0.0002207505518763836,0.6013736263736263,0.00027472527472527375
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,1,False,0.17024282560706405,0.01000735835172921,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,1,True,0.18211920529801323,0.0015158204562178146,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,2,False,0.17873436350257543,0.00048565121412803836,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,0,2,True,0.18030905077262693,0.0007947019867549643,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,0,False,0.18211920529801326,0.001721854304635756,0.6014285714285714,0.0002197802197802523
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,0,True,0.1940691685062546,0.0011037527593818902,0.5975824175824176,0.0023076923076922884
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,1,False,0.19002207505518764,0.003296541574687298,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,1,True,0.1840912435614422,0.001721854304635756,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,2,False,0.1953495217071376,0.0011773362766740458,0.6017032967032967,5.494505494502144e-05
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,1,2,True,0.19106696100073584,0.00684326710816778,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,0,False,0.18303164091243562,0.002869757174392931,0.5981868131868131,0.0009340659340659196
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,0,True,0.1954378219278881,0.0009124356144223494,0.5976923076923076,0.0029670329670329343
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,1,False,0.19270051508462105,0.001530537159676229,0.5927472527472526,0.009010989010989012
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,1,True,0.18217807211184694,0.0038704930095658646,0.6014835164835164,0.00016483516483517535
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,2,False,0.186504782928624,0.0011331861662987747,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,16,8,255,rstdp,2,2,True,0.17564385577630612,0.014554819720382611,0.6016483516483516,0.0
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,32,8,255,rstdp,0,0,False,0.1782192788815305,0.004797645327446656,0.6021428571428571,0.0009340659340659196
10,0,500,4,3,10,50,4,1.5,7,0.15,23,128,1024,0,3,,2,3,3,128,32,8,255,rstdp,0,0,True,0.18151582045621778,0.0027667402501839328,0.6023076923076922,0.0005494505494505475
