decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,n_hidden,dopamine_reward,dopamine_punish,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
128,512,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.36345903771131344,0.07432727782805326,0.4205405405405406,0.11834752158619681
128,512,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.36449934980494153,0.07336620799694822,0.4172972972972973,0.11595319072684905
128,512,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.22028608582574774,0.004079164406074931,0.24108108108108112,0.017297297297297298
128,512,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.26150845253576077,0.034010609062649105,0.3502702702702703,0.07263384662590627
128,512,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.2794538361508453,0.03514759879477956,0.265945945945946,0.0259008617312669
128,512,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.3487646293888166,0.07139793092194026,0.36972972972972973,0.0770227594834892
128,512,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.34629388816644996,0.043427189440911,0.37729729729729733,0.08535749597038653
128,512,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.35240572171651496,0.03534095750765731,0.37081081081081085,0.07770258519380069
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,0,1,-1,0.3039011703511053,0.03949762394084709,0.31891891891891894,0.013240485096125286
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,8,1,-1,0.33355006501950585,0.005930691417940906,0.2843243243243243,0.004324324324324324
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,16,1,-1,0.3126137841352406,0.012277500912272732,0.30486486486486486,0.048419882543910685
128,1024,0,3,,3,2,3,32,32,32,127,stdp,0,1,-1,0.2673602080624187,0.10360886309469561,0.387027027027027,0.045559583796119955
128,1024,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.2717815344603381,0.0,0.2756756756756757,0.0
128,1024,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.30403120936280886,0.0780197224964439,0.29081081081081084,0.08299717931965075
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.3044213263979194,0.00999187137180678,0.2918918918918919,0.009044973259827845
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.3520156046814044,0.07830098003403702,0.3783783783783784,0.05851835071448372
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.2810143042912874,0.00993246109437104,0.29945945945945945,0.025261235557941457
128,1024,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.3586475942782835,0.018105801902531547,0.3091891891891892,0.1208395273930255
128,1024,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.31261378413524055,0.05470517273727866,0.3308108108108109,0.09420925374717555
128,1024,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.3165149544863459,0.05987925845113893,0.32972972972972975,0.08443513163142329
