fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.42102649006622517,0.08765636497424587,0.29787087912087906,0.054601648351648296
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.35378955114054456,0.014863870493009523,0.22355769230769232,0.0032280219780219666
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.418579838116262,0.006217807211184645,0.3695054945054946,0.0026098901098901006
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.6150110375275939,7.358351729219725e-05,0.25247252747252746,0.0035714285714285587
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.32941501103752757,0.017420897718910977,0.3270604395604395,0.017719780219780212
20,0.0,500,4,3,10,100,4,1.0,5,0.15,21,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.30603384841795434,0.016813833701250974,0.45054945054945056,0.005494505494505475
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.39753495217071383,0.03178807947019868,0.28557692307692306,0.03502747252747246
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7059234731420161,0.0040838852097129785,0.2763049450549451,0.01353021978021976
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4664643119941133,0.05568432671081669,0.35769230769230764,0.002060439560439553
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.38405077262693155,0.02849521707137606,0.24862637362637363,0.03804945054945054
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.6363134657836644,0.2048933038999265,0.3401785714285714,0.0054258241758241565
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7077078734363502,0.0006070640176600306,0.3149038461538461,0.0030906593406593297
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3249448123620309,0.03598233995584993,0.32541208791208787,0.02335164835164838
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.30091979396615154,0.0186902133922002,0.3771978021978022,0.12252747252747245
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.8219646799116999,0.011147902869757087,0.3360576923076922,0.01600274725274728
20,0.0,500,4,3,10,100,4,2.0,3,0.15,19,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7185798381162618,0.0006254598969830383,0.3201923076923076,0.001098901098901095
